message,class
ไวรัส โคโรนา covid covid-19 2019 corona virus เป็น ไวรัส ที่ จัดอยู่ใน วงศ์ใหญ่ ที่สุด ในบรรดา ไวรัส ที่พบ ใน ทั้ง สัตว์ และ คน,Yes
โรค ทางเดินหายใจ ตะวันออกกลาง (MERS) และ โรค ระบบ ทางเดินหายใจ เฉียบพลัน ร้ายแรง  (SARS) ,Yes
ผู้ติดเชื้อ ไวรัส โคโรนา สายพันธุ์ ใหม่ 2019 มีอาการ เช่นเดียวกับ ผู้ป่วย ที่ มี การติดเชื้อ ใน ระบบทางเดินหายใจ ,Yes
แสดง อาการ ตั้งแต่ ระดับ ความรุนแรงน้อย ได้แก่ คัดจมูก เจ็บคอ ไอ และ มีไข้ โดย ใน บางราย ที่ มี อาการรุนแรง จะ มี อาการ ปอดบวม หรือ หายใจลำบาก เสียชีวิต ได้ แต่ พบ ไม่บ่อยนัก แต่ หาก ผู้สูงอายุ และ ผู้ ที่ มี โรคประจำตัว เช่น เบาหวาน และ โรค หัวใจ เป็น กลุ่ม ที่ เสี่ยง ต่อ การ เจ็บ ป่วย รุนแรง หาก ได้รับ เชื้อ ไวรัส โคโรนา สายพันธุ์ใหม่,Yes
ป้องกัน การ แพร่ ระบาด ของ โควิด-19 รักษาระยะห่าง ที่ ปลอดภัย จากผู้อื่น ( อย่างน้อย 1 เมตร ) สวม หน้ากากอนามัย ใน ที่ สาธารณะ โดย เฉพาะ เมื่อ อยู่ ใน พื้นที่ปิดหรือ เว้นระยะห่าง ไม่ได้ หลีกเลี่ยง พื้นที่ปิด พยายาม อยู่ ใน พื้นที่ เปิดโล่ง และ อากาศถ่ายเท สะดวก เปิด หน้าต่าง เมื่อ อยู่ ใน พื้นที่ปิด ล้างมือ บ่อยๆ โดย ใช้สบู่ และน้ำ หรือ เจลล้างมือ ที่ มี ส่วน ผสม หลัก เป็น แอลกอฮอล์ รับ วัคซีน เมื่อ ได้รับ สิทธิ์ ปิดจมูก และ ปาก ด้วย ข้อ พับ ด้าน ใน ข้อศอก หรือ กระดาษชำระ เมื่อ ไอ หรือ จาม กักตัว เก็บตัว อยู่บ้าน เมื่อ รู้สึก ไม่สบาย,Yes
มาตรฐาน องค์การ อนามัยโลก WHO แนะนำ ให้ ประชาชน ล้างมือ ดูแล สุขอนามัย ทางเดินหายใจ เมื่อ ไอ หรือ จาม ปิดปาก หรือ ใช้ กระดาษชำระ แล้ว ทิ้ง ใน ถังขยะ รับประทาน อาหาร ที่ สุก สะอาด ปลอดภัย และ หลีกเลี่ยง การสัมผัส กับ ผู้ ที่ มี อาการ เจ็บป่วย ที่ เกี่ยว ข้อง กับ ระบบ ทาง เดิน หายใจ,Yes
สาย พันธุ์ ที่ ต้อง เฝ้าระวัง Varients of Interest อังกฤษ อัลฟ่า แอฟริกาใต้ เบต้า บราซิล แกมม่า อินเดีย เดลต้า,Yes
วัคซีน ไฟ เซอร์ โม เดอร์ นา moderna แอส ตร้า เซน เน ก้า astra zeneca จอห์น สัน แอนด์ จอหน์ สัน johnson & johnson ซิ โน แวค sinovac,Yes
Home Isolation หรือ การรักษาตัวเอง จาก ที่บ้าน เป็น อีกทางเลือกหนึ่ง เพื่อ ให้ ผู้ติดเชื้อ ที่ ไม่มีอาการ หรือ ผู้ป่วย โควิด covid-19 กลุ่มสีเขียว,Yes
จังหวัด พื้นที่ ควบคุม สูงสุด และ เข้มงวด เสี่ยง พื้นที่สีแดง สีแดง สีแดงเข้ม กรุงเทพมหานคร กาญจนบุรี  ชลบุรี  ฉะเชิงเทรา ตาก นครปฐม นครนายก นครราชสีมา นราธิวาส นนทบุรี ปทุมธานี ประจวบคีรีขันธ์ ปราจีนบุรี ปัตตานี พระนครศรีอยุธยา เพชรบุรี เพชรบูรณ์ ยะลา ระยอง ราชบุรี ลพบุรี สงขลา สิงห์บุรี สมุทรปราการ สมุทรสงคราม สมุทรสาคร สระบุรี สุพรรณบุรี อ่างทอง,Yes
